exam,q_no,category
64th BPSC,110,Economics
64th BPSC,111,Economics
64th BPSC,112,Economics
64th BPSC,113,Economics
64th BPSC,114,Current Affairs
64th BPSC,115,Geography
64th BPSC,116,Bihar Special
64th BPSC,117,Bihar Special
64th BPSC,118,Bihar Special
64th BPSC,119,Bihar Special
64th BPSC,120,Bihar Special
64th BPSC,121,Modern History
64th BPSC,122,Modern History
64th BPSC,123,Modern History
64th BPSC,124,Modern History
64th BPSC,125,Modern History
64th BPSC,126,Modern History
64th BPSC,127,Modern History
64th BPSC,128,Modern History
64th BPSC,129,Modern History
64th BPSC,130,Modern History
64th BPSC,131,Modern History
64th BPSC,132,Modern History
64th BPSC,133,Bihar Special
64th BPSC,134,Modern History
64th BPSC,135,Modern History
64th BPSC,136,Bihar Special
64th BPSC,137,Modern History
64th BPSC,138,Bihar Special
64th BPSC,139,Bihar Special
64th BPSC,140,Bihar Special
64th BPSC,141,Math
64th BPSC,142,Math
64th BPSC,143,Math
64th BPSC,144,Math
64th BPSC,145,Math
64th BPSC,146,Math
64th BPSC,147,Math
64th BPSC,148,Math
64th BPSC,149,Math
64th BPSC,150,Math
65th BPSC,1,Medieval
65th BPSC,2,Medieval
65th BPSC,3,Medieval
65th BPSC,4,Modern History
65th BPSC,5,Modern History
65th BPSC,6,Modern History
65th BPSC,7,Modern History
65th BPSC,8,Modern History
65th BPSC,9,Bihar Special
65th BPSC,10,Bihar Special
65th BPSC,11,Bihar Special
65th BPSC,12,Bihar Special
65th BPSC,13,Bihar Special
65th BPSC,14,Bihar Special
65th BPSC,15,Ancient History
65th BPSC,16,Ancient History
65th BPSC,17,Ancient History
65th BPSC,18,Ancient History
65th BPSC,19,Medieval
65th BPSC,20,Medieval
65th BPSC,21,Geography
65th BPSC,22,Geography
65th BPSC,23,Geography
65th BPSC,24,Bihar Special
65th BPSC,25,Bihar Special
65th BPSC,26,Bihar Special
65th BPSC,27,Bihar Special
65th BPSC,28,Bihar Special
65th BPSC,29,Bihar Special
65th BPSC,30,Geography
65th BPSC,31,Geography
65th BPSC,32,Geography
65th BPSC,33,Geography
65th BPSC,34,Geography
65th BPSC,35,Geography
65th BPSC,36,Geography
65th BPSC,37,Geography
65th BPSC,38,Geography
65th BPSC,39,Geography
65th BPSC,40,Geography
65th BPSC,41,Polity
65th BPSC,42,Polity
65th BPSC,43,Polity
65th BPSC,44,Polity
65th BPSC,45,Polity
65th BPSC,46,Polity
65th BPSC,47,Polity
65th BPSC,48,Polity
